City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Guanica,PR,75.99,few clouds,17.97,-66.91,Copamarina Beach Resort & Spa
12,Rikitea,PF,78.58,light rain,-23.12,-134.97,Pension Maro'i
17,Balabac,PH,82.08,overcast clouds,7.99,117.06,Sing and Swing Lodge
19,Manokwari,ID,81.59,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
23,Hithadhoo,MV,81.82,scattered clouds,-0.6,73.08,Scoop Guest House
25,Bambous Virieux,MU,77.0,shower rain,-20.34,57.76,Casa Tia Villa
32,Kununurra,AU,86.0,overcast clouds,-15.77,128.73,Hotel Kununurra
36,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
48,Mopipi,BW,77.72,light rain,-21.18,24.88,
54,Hilo,US,77.0,light rain,19.73,-155.09,Hilo Hawaiian Hotel
57,Beloha,MG,76.8,clear sky,-25.17,45.05,
66,Anloga,GH,80.6,few clouds,5.79,0.9,Pin Drop Hotel
69,Butaritari,KI,81.68,overcast clouds,3.07,172.79,Isles Sunset Lodge
72,Sola,VU,83.59,clear sky,-13.88,167.55,Ulkel Guest House
74,Faanui,PF,80.74,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
78,Souillac,MU,77.0,shower rain,-20.52,57.52,Bils' Villa
79,Uniao,BR,84.2,clear sky,-4.59,-42.86,Casa Luquinha
81,Atuona,PF,79.12,clear sky,-9.8,-139.03,Villa Enata
83,Panguna,PG,77.49,moderate rain,-6.32,155.48,
85,Singkawang,ID,81.7,clear sky,0.9,109.0,Capital O 1822 Wahana Inn
87,Labuhan,ID,77.47,light rain,-6.88,112.21,bador sepret
88,Reconquista,AR,79.45,few clouds,-29.15,-59.65,Grand Hotel
101,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
102,Avarua,CK,82.4,few clouds,-21.21,-159.78,Paradise Inn
112,Cayenne,GF,77.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
113,Puerto Madryn,AR,75.36,overcast clouds,-42.77,-65.04,Hotel Tolosa
114,Port-Gentil,GA,80.51,light rain,-0.72,8.78,Fengshui Residence
115,Road Town,VG,77.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
118,San Andres,CO,77.0,light rain,12.58,-81.7,Hotel Arena Blanca
120,Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
123,Bengkulu,ID,79.57,light rain,-3.8,102.27,Grage Hotel Bengkulu
124,Kavieng,PG,85.73,few clouds,-2.57,150.8,Nusa Island Retreat
127,Harper,LR,78.3,overcast clouds,4.38,-7.72,Screensaver
128,Manggar,ID,82.51,light rain,-2.88,108.27,Guest Hotel
133,Natal,BR,80.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
136,Arraial Do Cabo,BR,75.2,clear sky,-22.97,-42.03,Pousada Porto Praia
138,Lakatoro,VU,86.0,light rain,-16.1,167.42,Lakatoro Palm Lodge
146,Kieta,PG,85.15,light rain,-6.22,155.63,
150,Macapa,BR,80.6,moderate rain,0.04,-51.07,Atalanta Hotel
153,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
154,Lethem,GY,79.65,overcast clouds,3.38,-59.8,Savannah Inn
158,Nabire,ID,75.97,light rain,-3.37,135.48,Hotel Nusantara Nabire
159,Pontianak,ID,80.42,clear sky,-0.03,109.33,Aston Pontianak Hotel & Convention Center
172,Kendari,ID,82.76,overcast clouds,-3.94,122.5,Hotel Wixel
173,Vaini,TO,82.4,moderate rain,-21.2,-175.2,Keleti Beach Resort
174,Isangel,VU,82.06,broken clouds,-19.55,169.27,Volcano Sea View Tree House
184,Kapaa,US,80.6,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
188,Cotonou,BJ,82.4,few clouds,6.37,2.42,Novotel Cotonou Orisha
189,Meulaboh,ID,77.83,few clouds,4.14,96.13,Kost Pria
190,Pochutla,MX,77.0,clear sky,15.74,-96.47,Hotel Posada San Jose
