City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,2020-12-28 00:53:39,-46.6,168.33,56.52,61,0,9.42,clear sky
1,Saskylakh,RU,2020-12-28 00:53:56,71.92,114.08,-13.4,86,100,20.67,overcast clouds
2,Yerbogachen,RU,2020-12-28 00:59:41,61.28,108.01,-21.75,85,100,8.68,overcast clouds
3,Busselton,AU,2020-12-28 00:53:25,-33.65,115.33,66.0,54,0,7.0,clear sky
4,Mataura,NZ,2020-12-28 00:53:20,-46.19,168.86,72.34,29,0,2.3,clear sky
5,Ancud,CL,2020-12-28 00:54:10,-41.87,-73.82,62.01,87,90,2.24,overcast clouds
6,Guanica,PR,2020-12-28 01:00:31,17.97,-66.91,75.99,84,17,3.29,few clouds
7,Muisne,EC,2020-12-28 01:00:31,0.6,-80.03,74.73,84,100,7.87,overcast clouds
8,Torbay,CA,2020-12-28 00:53:48,47.67,-52.73,37.99,100,90,6.93,overcast clouds
9,Bossangoa,CF,2020-12-28 01:00:31,6.49,17.46,71.35,34,82,2.73,broken clouds
10,Chokurdakh,RU,2020-12-28 00:53:20,70.63,147.92,-32.01,82,18,4.54,few clouds
11,Puerto Ayora,EC,2020-12-28 00:53:10,-0.74,-90.35,73.0,91,100,3.0,overcast clouds
12,Rikitea,PF,2020-12-28 00:53:17,-23.12,-134.97,78.58,79,88,14.97,light rain
13,Glens Falls,US,2020-12-28 01:00:03,43.31,-73.64,28.0,79,1,3.29,clear sky
14,Praia Da Vitoria,PT,2020-12-28 00:55:24,38.73,-27.07,55.4,76,90,10.11,overcast clouds
15,Qaanaaq,GL,2020-12-28 00:54:08,77.48,-69.36,-3.87,70,74,7.81,broken clouds
16,Tuatapere,NZ,2020-12-28 00:55:12,-46.13,167.68,66.7,41,0,5.44,clear sky
17,Balabac,PH,2020-12-28 01:00:33,7.99,117.06,82.08,79,96,12.46,overcast clouds
18,Cidreira,BR,2020-12-28 00:53:33,-30.18,-50.21,73.98,82,94,18.86,overcast clouds
19,Manokwari,ID,2020-12-28 00:59:52,-0.87,134.08,81.59,75,100,5.32,overcast clouds
20,Mar Del Plata,AR,2020-12-28 00:51:02,-38.0,-57.56,69.01,94,90,12.75,overcast clouds
21,Hobart,AU,2020-12-28 00:49:06,-42.88,147.33,63.0,47,40,9.17,scattered clouds
22,Jamestown,US,2020-12-28 00:53:54,42.1,-79.24,33.01,80,1,17.0,clear sky
23,Hithadhoo,MV,2020-12-28 00:53:37,-0.6,73.08,81.82,74,33,7.2,scattered clouds
24,Barrow,US,2020-12-28 00:53:14,71.29,-156.79,-5.8,76,90,9.17,overcast clouds
25,Bambous Virieux,MU,2020-12-28 00:58:34,-20.34,57.76,77.0,83,40,11.41,shower rain
26,Ushuaia,AR,2020-12-28 00:53:14,-54.8,-68.3,64.4,18,20,14.99,few clouds
27,Coihaique,CL,2020-12-28 00:55:32,-45.58,-72.07,69.8,46,40,6.93,scattered clouds
28,Olafsvik,IS,2020-12-28 00:53:22,64.89,-23.71,32.85,89,14,30.06,few clouds
29,Anadyr,RU,2020-12-28 00:54:10,64.75,177.48,12.2,78,20,38.03,few clouds
30,Bocaiuva,BR,2020-12-28 01:00:36,-17.11,-43.81,69.87,85,100,5.86,overcast clouds
31,Pacific Grove,US,2020-12-28 00:57:00,36.62,-121.92,55.4,71,1,8.05,clear sky
32,Kununurra,AU,2020-12-28 01:00:36,-15.77,128.73,86.0,74,90,2.59,overcast clouds
33,Dikson,RU,2020-12-28 00:53:34,73.51,80.55,-14.62,89,0,6.8,clear sky
34,Dudinka,RU,2020-12-28 00:54:23,69.41,86.18,-36.4,73,0,6.71,clear sky
35,Chuy,UY,2020-12-28 00:53:46,-33.7,-53.46,69.33,90,14,11.63,few clouds
36,Cabo San Lucas,MX,2020-12-28 00:49:16,22.89,-109.91,75.2,43,5,11.41,clear sky
37,Mehamn,NO,2020-12-28 00:58:36,71.04,27.85,23.5,89,100,28.59,overcast clouds
38,Tocache,PE,2020-12-28 01:00:38,-8.18,-76.51,71.2,81,100,0.83,overcast clouds
39,Portland,US,2020-12-28 00:51:47,45.52,-122.68,48.99,64,51,1.01,broken clouds
40,Sao Paulo De Olivenca,BR,2020-12-28 01:00:39,-3.38,-68.87,74.32,95,100,2.17,light rain
41,Thompson,CA,2020-12-28 00:53:58,55.74,-97.86,-20.2,75,20,10.29,few clouds
42,Tuktoyaktuk,CA,2020-12-28 00:53:14,69.45,-133.04,-5.8,83,90,3.36,mist
43,Tiksi,RU,2020-12-28 00:53:32,71.69,128.87,2.71,92,100,15.37,overcast clouds
44,Punta Arenas,CL,2020-12-28 00:53:18,-53.15,-70.92,55.4,50,0,20.8,clear sky
45,Meschede,DE,2020-12-28 01:00:40,51.35,8.28,41.0,89,100,1.01,light rain
46,Semnan,IR,2020-12-28 01:00:40,35.57,53.4,34.02,73,0,1.36,clear sky
47,Ribeira Grande,PT,2020-12-28 00:53:18,38.52,-28.7,57.06,71,100,15.3,overcast clouds
48,Mopipi,BW,2020-12-28 01:00:40,-21.18,24.88,77.72,61,98,11.92,light rain
49,Rafai,CF,2020-12-28 01:00:41,4.95,23.92,71.65,64,97,1.14,overcast clouds
50,Bredasdorp,ZA,2020-12-28 00:54:00,-34.53,20.04,59.0,82,44,1.12,scattered clouds
51,Khromtau,KZ,2020-12-28 00:59:03,50.25,58.43,22.39,98,100,20.29,light snow
