City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2020-12-24 21:45:01,55.74,-97.86,-9.4,83,90,8.05
1,Hamilton,US,2020-12-24 21:43:53,39.18,-84.53,26.01,73,90,13.87
2,Georgetown,MY,2020-12-24 21:45:54,5.41,100.34,77.0,88,20,2.24
3,Atuona,PF,2020-12-24 21:45:54,-9.8,-139.03,78.89,78,11,12.53
4,Sucre,BO,2020-12-24 21:41:16,-19.03,-65.26,66.2,48,40,14.99
5,Albany,US,2020-12-24 21:45:54,42.6,-73.97,48.99,87,100,12.03
6,Bethel,US,2020-12-24 21:41:21,41.37,-73.41,53.01,87,90,5.82
7,Castro,BR,2020-12-24 21:45:55,-24.79,-50.01,66.02,86,49,10.13
8,Magadan,RU,2020-12-24 21:45:55,59.57,150.8,-18.13,80,35,11.81
9,Koslan,RU,2020-12-24 21:45:55,63.46,48.9,-4.83,90,100,9.04
10,Broken Hill,AU,2020-12-24 21:45:56,-31.95,141.43,66.2,42,0,10.29
11,Hobart,AU,2020-12-24 21:45:56,-42.88,147.33,55.99,62,75,9.17
12,Paamiut,GL,2020-12-24 21:41:49,61.99,-49.67,24.76,90,100,24.4
13,Luocheng,CN,2020-12-24 21:45:56,29.38,104.03,43.74,77,73,0.67
14,Manturovo,RU,2020-12-24 21:45:56,58.34,44.76,13.75,96,100,5.23
15,Punta Arenas,CL,2020-12-24 21:42:05,-53.15,-70.92,55.4,56,40,35.57
16,Kapaa,US,2020-12-24 21:45:57,22.08,-159.32,80.6,69,20,17.22
17,Kavieng,PG,2020-12-24 21:45:57,-2.57,150.8,84.96,67,31,5.14
18,Vaini,TO,2020-12-24 21:45:57,-21.2,-175.2,82.4,83,75,5.82
19,Taoudenni,ML,2020-12-24 21:45:57,22.68,-3.98,66.69,26,24,11.18
20,Along,IN,2020-12-24 21:45:58,28.17,94.77,48.96,69,2,1.48
21,Saldanha,ZA,2020-12-24 21:45:58,-33.01,17.94,62.6,77,0,6.93
22,Verkhnyaya Inta,RU,2020-12-24 21:45:59,65.98,60.31,-24.3,81,0,7.38
23,Paris,FR,2020-12-24 21:41:54,48.85,2.35,39.0,93,99,11.41
24,East London,ZA,2020-12-24 21:45:59,-33.02,27.91,66.79,70,84,3.33
25,Yulara,AU,2020-12-24 21:45:59,-25.24,130.99,64.4,68,1,4.7
26,Ailigandi,PA,2020-12-24 21:45:59,9.23,-78.02,81.45,80,31,7.36
27,Ushuaia,AR,2020-12-24 21:46:00,-54.8,-68.3,51.8,48,40,9.17
28,Kabanjahe,ID,2020-12-24 21:46:00,3.1,98.49,75.2,100,40,4.7
29,Iqaluit,CA,2020-12-24 21:46:00,63.75,-68.51,-5.01,70,40,12.75
30,Bluff,NZ,2020-12-24 21:46:00,-46.6,168.33,55.99,67,38,7.0
31,Hermanus,ZA,2020-12-24 21:46:00,-34.42,19.23,57.0,91,10,2.93
32,Barrow,US,2020-12-24 21:46:01,71.29,-156.79,1.4,77,90,11.41
33,Miri,MY,2020-12-24 21:46:01,4.41,114.01,78.8,94,40,4.7
34,Rikitea,PF,2020-12-24 21:46:01,-23.12,-134.97,77.76,74,39,12.37
35,Salalah,OM,2020-12-24 21:46:01,17.02,54.09,71.6,53,0,3.36
36,Tarko-Sale,RU,2020-12-24 21:46:01,64.92,77.78,-42.18,80,44,9.04
37,Terrell,US,2020-12-24 21:46:02,32.74,-96.28,52.0,17,1,21.92
38,Buala,SB,2020-12-24 21:46:02,-8.14,159.59,83.95,73,31,3.47
39,Mahebourg,MU,2020-12-24 21:46:03,-20.41,57.7,78.8,88,75,11.41
40,New Norfolk,AU,2020-12-24 21:46:03,-42.78,147.06,55.0,57,10,2.55
41,Mataura,NZ,2020-12-24 21:46:03,-46.19,168.86,55.99,67,6,7.0
42,Lavrentiya,RU,2020-12-24 21:46:03,65.58,-171.0,10.13,88,100,7.56
43,Saint-Francois,FR,2020-12-24 21:46:03,46.42,3.91,41.0,86,75,10.29
44,Carnarvon,AU,2020-12-24 21:46:04,-24.87,113.63,75.2,100,0,13.87
45,Norman Wells,CA,2020-12-24 21:46:04,65.28,-126.83,3.2,84,75,2.24
46,Yumen,CN,2020-12-24 21:46:04,40.28,97.2,13.59,80,0,15.93
47,Narsaq,GL,2020-12-24 21:46:04,60.92,-46.05,30.2,63,74,31.09
48,Aljezur,PT,2020-12-24 21:46:04,37.32,-8.8,46.0,43,95,3.0
49,Leningradskiy,RU,2020-12-24 21:46:05,69.38,178.42,4.01,93,99,3.04
50,Tadine,NC,2020-12-24 21:46:05,-21.55,167.88,80.62,65,100,5.68
51,Hilo,US,2020-12-24 21:46:05,19.73,-155.09,80.6,61,20,6.93
52,Busselton,AU,2020-12-24 21:46:05,-33.65,115.33,64.0,94,6,5.01
53,Khatanga,RU,2020-12-24 21:46:06,71.97,102.5,-26.21,85,96,10.27
54,Qaanaaq,GL,2020-12-24 21:46:06,77.48,-69.36,-1.34,75,82,5.23
55,Port Alfred,ZA,2020-12-24 21:46:06,-33.59,26.89,61.0,90,40,4.0
56,Roma,US,2020-12-24 21:46:05,43.21,-75.46,44.6,93,90,6.93
57,Ostrovnoy,RU,2020-12-24 21:46:07,68.05,39.51,12.87,92,4,23.8
58,Alyangula,AU,2020-12-24 21:46:07,-13.85,136.42,82.4,83,40,5.82
59,Fairbanks,US,2020-12-24 21:46:08,64.84,-147.72,8.01,77,75,1.16
60,Gwanda,ZW,2020-12-24 21:46:08,-20.93,29.0,70.74,88,100,9.19
61,Butaritari,KI,2020-12-24 21:46:08,3.07,172.79,80.06,78,100,16.87
62,San Patricio,US,2020-12-24 21:46:09,28.02,-97.52,57.2,16,20,18.34
63,Port Hedland,AU,2020-12-24 21:46:09,-20.32,118.57,80.6,51,0,8.05
64,Surt,LY,2020-12-24 21:46:09,31.21,16.59,60.69,70,0,5.23
65,Yellowknife,CA,2020-12-24 21:46:09,62.46,-114.35,0.0,84,90,14.99
66,Novooleksiyivka,UA,2020-12-24 21:46:10,46.23,34.64,40.89,86,60,16.28
67,Naze,JP,2020-12-24 21:46:10,28.37,129.48,62.6,67,75,23.04
68,Arraial Do Cabo,BR,2020-12-24 21:46:10,-22.97,-42.03,73.4,94,75,2.24
69,Bredasdorp,ZA,2020-12-24 21:46:11,-34.53,20.04,59.0,82,3,1.12
70,Cape Town,ZA,2020-12-24 21:42:27,-33.93,18.42,66.99,87,0,3.36
71,Torbay,CA,2020-12-24 21:46:11,47.67,-52.73,30.99,74,20,5.82
72,Upernavik,GL,2020-12-24 21:46:11,72.79,-56.15,6.8,94,100,9.35
73,Tuatapere,NZ,2020-12-24 21:46:11,-46.13,167.68,55.99,67,49,7.0
74,Sorland,NO,2020-12-24 21:46:11,67.67,12.69,38.55,75,88,16.11
75,Bengkulu,ID,2020-12-24 21:46:12,-3.8,102.27,74.64,82,99,3.76
76,Mar Del Plata,AR,2020-12-24 21:45:23,-38.0,-57.56,77.0,69,0,18.34
77,Quatre Cocos,MU,2020-12-24 21:46:12,-20.21,57.76,78.8,88,75,11.41
78,Fasano,IT,2020-12-24 21:46:12,40.83,17.36,57.99,93,5,8.05
79,Hithadhoo,MV,2020-12-24 21:46:13,-0.6,73.08,81.63,73,0,9.89
80,Yenagoa,NG,2020-12-24 21:46:14,4.92,6.26,76.59,90,91,5.06
81,Jamestown,US,2020-12-24 21:46:14,42.1,-79.24,32.0,100,90,11.41
82,Katsuura,JP,2020-12-24 21:44:10,35.13,140.3,48.0,61,0,8.05
83,Ruteng,ID,2020-12-24 21:46:14,-8.61,120.47,63.07,99,100,1.16
84,Vila Velha,BR,2020-12-24 21:46:15,-20.33,-40.29,77.0,88,90,8.05
85,Port Elizabeth,ZA,2020-12-24 21:46:15,-33.92,25.57,60.8,87,16,5.82
86,Katobu,ID,2020-12-24 21:46:15,-4.94,122.53,74.5,95,100,4.43
87,Labrea,BR,2020-12-24 21:46:15,-7.26,-64.8,80.29,79,99,4.09
88,Alexandria,EG,2020-12-24 21:46:16,31.22,29.96,62.6,63,20,8.05
89,Tilichiki,RU,2020-12-24 21:46:16,60.47,166.1,-30.98,83,19,9.19
90,Maarianhamina,AX,2020-12-24 21:46:16,60.1,19.93,33.8,80,20,8.05
91,Tiksi,RU,2020-12-24 21:46:16,71.69,128.87,-20.38,88,100,10.42
92,Kralendijk,BQ,2020-12-24 21:46:16,12.15,-68.27,82.4,69,40,14.99
93,Coquimbo,CL,2020-12-24 21:46:17,-29.95,-71.34,64.4,68,20,12.75
94,Luwuk,ID,2020-12-24 21:46:17,-0.95,122.79,79.3,72,100,2.33
95,Ucluelet,CA,2020-12-24 21:46:16,48.93,-125.55,51.01,49,90,9.17
96,Ponta Do Sol,PT,2020-12-24 21:46:18,32.67,-17.1,66.2,77,40,12.75
97,Tomatlan,MX,2020-12-24 21:46:18,19.93,-105.25,88.99,26,0,4.85
98,Peniche,PT,2020-12-24 21:46:18,39.36,-9.38,46.99,78,91,8.01
99,Pevek,RU,2020-12-24 21:46:18,69.7,170.31,0.95,94,100,3.4
100,Sinnamary,GF,2020-12-24 21:46:18,5.38,-52.95,76.84,85,100,5.59
101,Najran,SA,2020-12-24 21:46:19,17.49,44.13,62.6,48,0,1.32
102,Kaitangata,NZ,2020-12-24 21:46:19,-46.28,169.85,60.01,44,0,1.99
103,San Juan,AR,2020-12-24 21:45:32,-31.54,-68.54,94.01,22,47,24.38
104,Moen,NO,2020-12-24 21:46:20,69.13,18.61,6.8,84,60,19.46
105,Moroni,KM,2020-12-24 21:41:20,-11.7,43.26,80.56,76,5,7.87
106,Chuy,UY,2020-12-24 21:46:20,-33.7,-53.46,71.22,81,17,13.02
107,Pangai,TO,2020-12-24 21:46:20,-19.8,-174.35,82.4,88,75,3.36
108,Borba,BR,2020-12-24 21:46:20,-4.39,-59.59,83.8,66,78,0.6
109,Touros,BR,2020-12-24 21:46:21,-5.2,-35.46,78.8,83,40,9.17
110,Evinayong,GQ,2020-12-24 21:46:21,1.44,10.55,69.4,98,62,2.57
111,Makokou,GA,2020-12-24 21:46:21,0.57,12.86,72.84,86,9,2.42
112,Denpasar,ID,2020-12-24 21:42:22,-8.65,115.22,78.8,83,40,1.12
113,Coihaique,CL,2020-12-24 21:46:22,-45.58,-72.07,64.4,31,20,10.29
114,Lagoa,PT,2020-12-24 21:46:22,39.05,-27.98,57.79,64,87,21.92
115,Caravelas,BR,2020-12-24 21:46:22,-17.71,-39.25,76.33,79,6,7.34
116,Kirakira,SB,2020-12-24 21:46:22,-10.45,161.92,83.3,75,100,5.97
117,Mbigou,GA,2020-12-24 21:46:23,-1.9,11.91,68.94,97,73,1.66
118,Melfort,CA,2020-12-24 21:46:23,52.87,-104.62,21.2,85,70,13.87
119,Pucara,PE,2020-12-24 21:46:23,-15.98,-71.46,60.8,67,75,11.41
120,Puerto Ayora,EC,2020-12-24 21:46:23,-0.74,-90.35,77.0,78,75,5.82
121,Bambous Virieux,MU,2020-12-24 21:46:23,-20.34,57.76,78.8,88,75,11.41
122,Dikson,RU,2020-12-24 21:46:24,73.51,80.55,-16.74,88,79,9.98
123,Tasiilaq,GL,2020-12-24 21:46:24,65.61,-37.64,32.0,98,100,13.87
124,Sabha,LY,2020-12-24 21:45:36,27.04,14.43,53.28,58,0,8.93
125,Tuktoyaktuk,CA,2020-12-24 21:46:24,69.45,-133.04,-0.4,84,90,3.53
126,Avarua,CK,2020-12-24 21:46:25,-21.21,-159.78,82.4,69,46,11.41
127,Babstovo,RU,2020-12-24 21:46:25,48.12,132.48,0.68,74,77,7.09
128,Yar-Sale,RU,2020-12-24 21:46:27,66.83,70.83,-36.44,81,5,7.47
129,Nikolskoye,RU,2020-12-24 21:46:27,59.7,30.79,33.8,99,90,6.71
130,Gimli,CA,2020-12-24 21:45:33,50.63,-96.99,-5.8,70,62,8.05
131,Samarinda,ID,2020-12-24 21:46:27,-0.5,117.15,73.09,98,100,1.79
132,Karratha,AU,2020-12-24 21:46:27,-20.74,116.85,82.87,62,0,4.21
